Timestamp,AlertId,System,Severity
2247-06-29T00:10:00Z,A001,PowerGrid,2
2247-06-29T01:25:00Z,A002,Navigation,3
2247-06-29T03:40:00Z,A003,LifeSupport,1
2247-06-29T05:15:00Z,A004,CommSystem,2
2247-06-29T07:30:00Z,A005,PowerGrid,4
2247-06-29T09:58:00Z,A006,PowerGrid,2
2247-06-29T10:02:00Z,A007,CommSystem,3
2247-06-29T10:08:00Z,A008,PowerGrid,1
2247-06-29T10:10:00Z,A009,CommSystem,5
2247-06-29T10:14:00Z,A010,Navigation,3
2247-06-29T10:18:00Z,A011,CommSystem,4
2247-06-29T11:45:00Z,A012,LifeSupport,2
2247-06-29T13:20:00Z,A013,PowerGrid,3
2247-06-29T15:10:00Z,A014,Navigation,2
2247-06-29T16:35:00Z,A015,CommSystem,1
2247-06-29T18:00:00Z,A016,PowerGrid,4
2247-06-29T19:25:00Z,A017,LifeSupport,3
2247-06-29T20:50:00Z,A018,Navigation,2
2247-06-29T22:15:00Z,A019,CommSystem,5
2247-06-29T23:40:00Z,A020,PowerGrid,1
